Customer_ID,Tenure_Months,Contract_Type,Monthly_Revenue,Support_Tickets,Login_Frequency,Feature_Adoption_Score,LTV,Churn_Label,Is_High_Value,Contract_Type_Encoded,Cluster,Segment,Churn_Probability,Risk_Level,Retention_Strategy,Revenue_at_Risk
CUST-00000,39,Monthly,80.14,5,23,4,3125.46,0,0,0,1,Frustrated/High-Support,26.32,Medium,Priority Support Follow-up - Technical Resolution,21.09
CUST-00001,52,Monthly,440.38,1,14,7,22899.76,1,1,0,2,Inactive/Low-Engagement,41.9,High,CRITICAL: Dedicated AM Outreach + Custom Discount,184.52
CUST-00002,29,Two Year,226.32,1,9,3,6563.28,1,0,2,3,Standard Users,63.72,High,Retention Specialist - Standard Loyalty Offer,144.21
CUST-00003,15,Monthly,214.43,2,15,4,3216.45,1,0,0,0,Power Users,60.85,High,Retention Specialist - Standard Loyalty Offer,130.48
CUST-00004,43,Monthly,294.26,2,15,8,12653.18,1,0,0,2,Inactive/Low-Engagement,38.24,High,Product Reactivation Campaign - Feature Education,112.53
CUST-00005,8,One Year,480.69,2,19,8,3845.52,1,1,1,2,Inactive/Low-Engagement,47.6,High,CRITICAL: Dedicated AM Outreach + Custom Discount,228.81
CUST-00006,21,Two Year,454.43,2,0,9,9543.03,1,1,2,3,Standard Users,57.63,High,CRITICAL: Dedicated AM Outreach + Custom Discount,261.89
CUST-00007,39,Monthly,261.65,0,26,4,10204.35,0,0,0,0,Power Users,18.64,Medium,Automated Re-engagement Email Series,48.77
CUST-00008,58,Monthly,363.12,0,10,10,21060.96,0,0,0,2,Inactive/Low-Engagement,13.96,Low,Customer Success - Standard Engagement,50.69
CUST-00009,19,Two Year,311.19,5,28,4,5912.61,0,0,2,1,Frustrated/High-Support,13.83,Low,Customer Success - Standard Engagement,43.04
CUST-00010,23,One Year,362.06,2,18,5,8327.38,0,0,1,0,Power Users,40.79,High,Retention Specialist - Standard Loyalty Offer,147.68
CUST-00011,11,Monthly,423.2,2,17,5,4655.2,0,1,0,0,Power Users,41.75,High,CRITICAL: Dedicated AM Outreach + Custom Discount,176.69
CUST-00012,11,Monthly,65.52,1,2,3,720.72,1,0,0,3,Standard Users,64.96,High,Retention Specialist - Standard Loyalty Offer,42.56
CUST-00013,24,Monthly,196.59,1,14,1,4718.16,0,0,0,0,Power Users,45.49,High,Retention Specialist - Standard Loyalty Offer,89.43
CUST-00014,53,Monthly,481.7,0,27,10,25530.1,0,1,0,2,Inactive/Low-Engagement,6.8,Low,Customer Success - Standard Engagement,32.76
CUST-00015,36,Monthly,477.2,1,5,1,17179.2,0,1,0,3,Standard Users,66.34,High,CRITICAL: Dedicated AM Outreach + Custom Discount,316.57
CUST-00016,40,Two Year,55.05,1,9,8,2202.0,0,0,2,3,Standard Users,22.41,Medium,Automated Re-engagement Email Series,12.34
CUST-00017,24,Monthly,140.65,2,2,4,3375.6,1,0,0,3,Standard Users,82.3,High,Retention Specialist - Standard Loyalty Offer,115.75
CUST-00018,3,One Year,497.2,2,9,10,1491.6,1,1,1,2,Inactive/Low-Engagement,37.2,High,CRITICAL: Dedicated AM Outreach + Custom Discount,184.96
CUST-00019,22,Monthly,271.77,0,28,2,5978.94,0,0,0,0,Power Users,21.37,Medium,Automated Re-engagement Email Series,58.08
CUST-00020,53,One Year,307.79,1,15,6,16312.87,0,0,1,2,Inactive/Low-Engagement,23.8,Medium,Product Reactivation Campaign - Feature Education,73.25
CUST-00021,2,One Year,124.89,2,3,9,249.78,0,0,1,3,Standard Users,38.4,High,Retention Specialist - Standard Loyalty Offer,47.96
CUST-00022,24,Monthly,452.45,1,0,5,10858.8,0,1,0,3,Standard Users,60.09,High,CRITICAL: Dedicated AM Outreach + Custom Discount,271.88
CUST-00023,44,One Year,154.07,1,21,3,6779.08,0,0,1,0,Power Users,26.97,Medium,Automated Re-engagement Email Series,41.55
CUST-00024,30,Monthly,135.34,1,17,4,4060.2,0,0,0,0,Power Users,45.08,High,Retention Specialist - Standard Loyalty Offer,61.01
CUST-00025,38,Two Year,152.66,0,3,2,5801.08,0,0,2,3,Standard Users,37.48,High,Retention Specialist - Standard Loyalty Offer,57.22
CUST-00026,2,Two Year,463.83,1,4,7,927.66,0,1,2,3,Standard Users,37.96,High,CRITICAL: Dedicated AM Outreach + Custom Discount,176.07
CUST-00027,21,Monthly,366.28,0,20,4,7691.88,0,0,0,0,Power Users,28.57,Medium,Automated Re-engagement Email Series,104.65
CUST-00028,33,Monthly,395.87,1,3,4,13063.71,1,0,0,3,Standard Users,68.41,High,Retention Specialist - Standard Loyalty Offer,270.81
CUST-00029,12,Monthly,219.67,0,18,8,2636.04,0,0,0,2,Inactive/Low-Engagement,32.44,High,Product Reactivation Campaign - Feature Education,71.26
CUST-00030,58,One Year,459.13,1,19,10,26629.54,0,1,1,2,Inactive/Low-Engagement,7.44,Low,Customer Success - Standard Engagement,34.16
